,School Resource Package Allocations,,,,,,,,,Student Enrolments – First term census ,,,,Student Attendance,
,2014 Students 1st Term FTE,2015 Students 1st Term FTE,2014 Final FFM $,2015 Final FFM $,2014 Final SRP $,2015 Final SRP $,2013 OENI,2014 OENI,ARIA+,2014 Headcount,2014 FTE,2015 Headcount,2015 FTE,2013 (%),2014 (%)
Albuera Street Primary School,242.8,248.2,234133,250234,386571,419358,0.1814,0.2066,1.83,259,242.8,264,248.2,93,94
Andrews Creek Primary School,124,131.4,148562,166877,248920,326253,0.4607,0.418,2.6,131,124,140,131.4,95,94
Austins Ferry Primary School,416.6,434.6,539841,601380,1113322,1228935,0.5991,0.6,1.83,439,416.6,463,434.6,92,91
Avoca Primary School,24.8,22,56444,53069,105683,89065,0.5341,0.5217,5,26,24.8,22,22,92,93
Bagdad Primary School,129.2,124,169700,170333,282582,315513,0.5527,0.5363,2.34,136,129.2,130,124,95,92
Beaconsfield Primary School,225.4,240.2,324134,366537,603813,655779,0.5887,0.6035,2.74,245,225.4,259,240.2,93,92
Bellerive Primary School,386.6,433.2,404260,469775,684555,758942,0.4249,0.3909,1.83,415,386.6,462,433.2,94,94
Bicheno Primary School,103.6,93.4,183390,179989,283305,273711,0.4375,0.4737,7.03,108,103.6,97,93.4,93,93
Blackmans Bay Primary School,328.4,286,325661,292204,642347,600405,0.3724,0.3616,1.83,348,328.4,300,286,94,93
Boat Harbour Primary School,241.6,248.2,291590,318941,427832,505075,0.4348,0.4157,3.48,254,241.6,264,248.2,93,92
Bothwell District High School,79.8,75.6,151247,154377,346555,380843,0.7063,0.7113,4.14,83,79.8,80,75.6,89,90
Bowen Road Primary School,246.2,256.6,332370,365607,653044,623599,0.6324,0.6195,1.83,257,246.2,269,256.6,92,93
Bracknell Primary School,67.4,60.4,99787,98984,178562,169632,0.5809,0.5636,2.93,69,67.4,64,60.4,95,93
Bridport Primary School,150.2,151.2,206520,223039,305343,324098,0.5222,0.4956,3.38,159,150.2,162,151.2,94,92
Brighton Primary School,586.4,578,693457,700963,1120915,1150822,0.5345,0.5055,1.85,624,586.4,606,578,92,92
Brooks High School,512,508,801624,841713,1332661,1296390,0.7399,0.7343,1.83,512,512,508,508,84,81
Bruny Island District School,41,41,81901,85996,179302,186517,0.3571,0.3643,6.1,43,41,43,41,94,94
Burnie High School,530,548,511080,560242,842315,837787,0.4199,0.4289,2.74,530,530,548,548,91,91
Burnie Primary School,344.6,346.2,341184,351151,574469,598246,0.3723,0.3681,2.74,365,344.6,363,346.2,94,95
Cambridge Primary School,318,313.4,310573,320515,531429,530189,0.3149,0.2754,1.83,338,318,333,313.4,94,94
Campania District School,145.6,183.2,224967,308135,515820,580233,0.6636,0.7134,2.7,151,145.6,186,183.2,84,88
Campbell Street Primary School,233.4,232.4,235965,239767,385578,404061,0.3781,0.3821,1.83,249,233.4,244,232.4,93,93
Campbell Town District High School,197,193.8,322551,351789,768318,751408,0.6271,0.6392,4.61,203,197,199,193.8,90,91
Cape Barren Island School,4.6,7.6,67135,92585,132570,159003,0.7917,0.45,13.36,5,4.6,8,7.6,93,91
Claremont College,743.3,722.4,897869,1043638,1781832,2080120,0.6563,0.6529,1.83,811,743.3,741,722.4,,
Clarence High School,507.6,505,514933,547548,858163,893086,0.4618,0.476,1.83,508,507.6,505,505,89,88
Clarendon Vale Primary School,103,108,170676,190537,477970,486310,0.8464,0.8209,1.83,109,103,116,108,90,93
